latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1,NDVI
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],"Gold, Pyrite, Pyrolusite, Silver","Feldspar, Quartz",,"Mudstone,Sandstone,Conglomerate",Granite,Fault Zone,Manganese,0.7542135119438171
33.00694,106.5857,1031.0,12.238405,China,Shanxi [Shansi],,,,,,,Manganese,0.7317021489143372
38.49832,114.20766,210.0,3.8886676,China,Hebei [Hopeh],,,,,,,Manganese,0.3693068027496338
25.41168,109.5051,284.0,20.459164,China,Guangxi* [Kwangsi],Pyrolusite,"Calcite, Muscovite",,Limestone,,"Strata, Mn-Bearing Series",Manganese,0.8040308952331543
24.49925,108.49957,165.0,4.1737986,China,Guangxi* [Kwangsi],"Psilomelane, Pyrolusite, Rhodochrosite",,Stratiform,Limestone,,"Early Carboniferous Mn-Bearing Series, Anticline",Manganese,0.6514431834220886
25.1145,113.10501,761.0,16.700659,China,Hunan,"Magnetite, Psilomelane, Pyrolusite","Calcite, Dolomite, Pyrite",,"Siltstone,Limestone",Granite,"Mn-Bearing Series, Contact Matemorphic Zone.  Oxidizing Zone","Manganese, Iron",0.7707834243774414
41.80365,96.40544,2153.0,3.9069803,China,Gansu [Kansu],"Braunite, Psilomelane, Pyrolusite","Calcite, Quartz",Sedimentary,"Slate,Limestone",,Mn-Bearing Series,Manganese,0.05630272254347801
28.60171,109.70509,508.0,2.3061779,China,Hunan,Rhodochrosite,"Dolomite, Pyrite, Quartz",,"Shale,Sandstone,Till",,Mn-Bearing Series,Manganese,0.3987550437450409
23.49934,109.99955,585.0,38.727802,China,Guangxi* [Kwangsi],"Polianite, Psilomelane, Pyrolusite","Chalcopyrite, Chert, Pyrite",Stratiform,"Shale,Limestone",,"Mn-Bearing Series, Karst Strata",Manganese,0.8360655903816223
27.4643,109.69675,276.0,13.977367,China,Hunan,Rhodochrosite,,,"Slate,Limestone",,"Mn-Bearing Series, Between Tillites",Manganese,0.7518922090530396
42.12031,85.20026,2185.0,38.935444,China,Xinjiang* [Sinkiang],"Braunite, Hausmannite, Psilomelane, Rhodochrosite","Barite, Calcite, Galena, Pyrite, Quartz",,"Mudstone,Siltstone,Sandstone",,Mn-Bearing Series,Manganese,0.1649792343378067
23.80762,100.40812,974.0,11.71207,China,Guangxi* [Kwangsi],,,,,,,Manganese,0.6239316463470459
32.34087,105.21408,1134.0,31.044668,China,Sichuan [Szechwan],,,,,,,Manganese,0.7317813634872437
28.16565,113.51053,169.0,8.981008,China,Hunan,"Chalcopyrite, Magnetite, Pyrite, Pyrolusite","Dolomite, Quartz",,"Slate,Dolomite",,Skarn Zone,"Copper, Sulfur",0.7553318738937378
27.49069,111.51198,353.0,7.3369937,China,Hunan,,,Sedimentary,,,,Manganese,0.6753736734390259
32.70002,107.81123,1686.0,48.695503,China,Shanxi [Shansi],,,Sedimentary,,,,Manganese,0.5915741920471191
28.33228,109.08287,561.0,29.874083,China,Sichuan [Szechwan],Rhodochrosite,Calcite,,"Black Shale,Siltstone",,Mn-Bearing Series,Manganese,0.7832858562469482
28.4295,108.96899,363.0,6.369329,China,Sichuan [Szechwan],Rhodochrosite,"Calcite, Dolomite, Pyrite",,"Shale,Till",,Mn-Bearing Series,Manganese,0.7488346695899963
